Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 16V,B204I/205I,1985,96,130,03/98 → 08/00
2.0 16V Turbo,B204L/205L,1985,136,185,03/98 → 08/02
2.0 16V Turbo,B204/205,1985,113,154,06/98 → 08/00
2.0 16V Turbo,B205E,1985,110,150,08/00 → 08/03
2.0 S Turbo (YS3D),B204/205,1985,151,205,09/99 → 08/03
2.0 SE Turbo,B204R/205R,1985,147,200,02/98 → 08/02
2.2 TiD 16V,X22DTH,2171,92,125,08/00 → 08/02
2.2 TiD 16V,X22DTH,2171,85,115,03/98 → 09/00
2.3 16 V Turbo (YS3D),B235R,2290,165,224,10/98 → 08/02
2.3 16V,B234I,2290,110,150,03/98 → 08/02
