Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.8 i (YS3F),Z18XE,1796,90,122,08/03 → 02/15
1.8 t (YS3F),B207E,1998,110,150,08/02 → 02/15
1.8 t Biopower (YS3F),B207E E85,1998,129,175,10/05 → 02/15
1.9 TTiD (YS3F),Z19DTR,1910,132,180,12/07 → 02/15
1.9 TTiD (YS3F),A19DTR,1910,96,130,12/07 → 02/15
1.9 TTiD (YS3F),A19DTR,1910,118,160,12/07 → 02/15
1.9 TiD (YS3F),Z19DT,1910,88,120,08/04 → 02/15
1.9 TiD (YS3F),Z19DTH,1910,110,150,08/04 → 02/15
2.0 T BioPower (YS3F),B207R,1998,145,197,06/07 → 02/15
2.0 T16 (YS3F),B207L,1998,143,194,04/06 → 02/15
2.0 Turbo (YS3F),B205R/B207,1998,154,210,08/02 → 02/15
2.0 Turbo Performance (YS3F),B207R,1998,185,252,04/04 → 02/15
2.0 t (YS3F),B207,1998,177,240,06/09 → 02/15
2.0 t (YS3F),B207L,1998,129,175,08/02 → 02/15
2.0 t (YS3F),B207G,1998,120,163,01/07 → 02/15
2.0 t Biopower (YS3F),A20NFT,1998,162,220,01/11 → 02/15
2.0 t Biopower (YS3F),B207,1998,147,200,06/07 → 02/15
2.0 t Biopower (YS3F),B207H,1998,120,163,01/07 → 02/15
2.2 TiD (YS3F),D223L,2171,92,125,08/02 → 09/04
2.8 Turbo V6 (YS3F),LP9,2792,169,230,03/05 → 02/15
2.8 Turbo V6 (YS3F),"B284L, B284R",2792,206,280,11/07 → 02/15
2.8 Turbo V6 (YS3F),B284L,2792,188,255,08/07 → 02/15
2.8 Turbo V6 (YS3F),B284L,2792,184,250,08/05 → 02/15
