Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.9 TiD (YS3E),Z19DTH,1910,110,150,10/05 → 12/09
1.9 TiD (YS3E),Z19DTH,1910,129,175,01/07 → 12/09
2.0 t (YS3E),B205L,1985,136,185,07/00 → 07/01
2.0 t (YS3E),,1985,110,150,09/97 → 12/09
2.0 t (YS3E),B204R,1985,141,192,01/98 → 07/00
2.0 t Biopower (YS3E),,1985,110,150,01/05 → 12/09
2.0 t Biopower (YS3E),,1985,132,179,10/05 → 12/09
2.2 TiD (YS3E),D223L,2171,88,120,01/02 → 09/05
2.3 Turbo (YS3E),B235R,2290,169,230,10/99 → 09/01
2.3 Turbo (YS3E),B235R,2290,184,250,07/01 → 09/05
2.3 Turbo Aero (YS3E),B235R,2290,191,260,10/05 → 12/09
2.3 Turbo (YS3E),B235,2290,162,220,07/03 → 12/09
2.3 Turbo (YS3E),B235R,2290,224,305,06/03 → 08/05
2.3 t (YS3E),B235E,2290,125,170,09/97 → 04/01
2.3 t (YS3E),B235,2290,136,185,02/01 → 12/09
2.3 t Biopower (YS3E),B235,2290,136,185,01/07 → 12/09
2.3 t Biopower (YS3E),B235,2290,154,210,10/05 → 12/09
3.0 TiD (YS3E),D308L,2962,130,176,07/01 → 09/05
3.0 V6 24V Turbo (YS3E),B308E,2962,147,200,01/98 → 09/03
