Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 16,B202I,1985,93,126,01/89 → 12/93
2.0 EMS,BI 20,1985,87,118,01/79 → 12/80
2.0 S Turbo 16,B202S,1985,104,141,07/91 → 12/93
2.0 S Turbo 16,B202S,1985,107,146,01/92 → 12/93
2.0 Turbo,B201XL,1985,103,140,10/86 → 12/91
2.0 Turbo,BSI 20,1985,107,146,10/80 → 07/85
2.0 Turbo,B201XL,1985,110,150,01/86 → 12/88
2.0 Turbo 16,B202XL,1985,118,160,11/85 → 12/93
2.0 Turbo 16 S (KAT),B202XL,1985,129,175,01/89 → 12/93
2.0 Turbo 16 S,B202XL,1985,129,175,01/84 → 12/88
2.0 c,B201XC,1985,74,101,07/82 → 12/88
2.0 c,BT 20,1985,79,108,11/80 → 08/84
2.0i,B201,1985,81,110,09/85 → 08/90
2.0i,BI 20,1985,85,115,11/80 → 08/90
2.1 16,B212I,2119,100,136,08/90 → 12/93
