Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.2 TSI (5P1, 5P5, 5P8)",CBZB,1198,77,105,05/10 →
"1.4 16V (5P1, 5P5, 5P8)","BXW, CGGB",1390,63,86,05/06 →
"1.4 TSI (5P1, 5P5, 5P8)",CAXC,1390,92,125,09/07 →
"1.6 (5P1, 5P5, 5P8)","BGU, BSE, BSF, CCSA, CHGA,CMXA",1596,75,102,04/04 →
"1.6 Multifuel (5P1, 5P5, 5P8)",CMXA,1596,75,102,11/10 → 05/11
"1.6 TDI (5P1, 5P5, 5P8)",CAYC,1598,77,105,11/09 →
"1.6 TDI (5P1, 5P5, 5P8)",CAYB,1598,66,90,11/10 →
"1.8 TFSI (5P1, 5P5, 5P8)","BYT, BZB, CDAA",1798,118,160,11/06 →
"1.9 TDI (5P1, 5P5, 5P8)","BKC, BJB, BLS, BXE",1896,77,105,04/04 → 12/10
"1.9 TDI (5P1, 5P5, 5P8)",BXF,1896,66,90,09/09 →
"2.0 FSI (5P1, 5P5, 5P8)","BHD,BLR,BLY,BVY,BVZ",1984,110,150,04/04 → 03/09
"2.0 TDI (5P1, 5P5, 5P8)","BKD, BMM, CFHC",1968,103,140,04/04 → 05/09
"2.0 TDI (5P1, 5P5)",AZV,1968,100,136,04/04 → 12/07
"2.0 TDI FR (5P1, 5P5, 5P8)","BMN, CEGA, CFJA",1968,125,170,01/06 →
"2.0 TFSI (5P1, 5P5, 5P8)",CCZB,1968,155,211,05/10 →
"2.0 Turbo FSI (5P1, 5P5, 5P8)",BWA,1984,147,200,05/06 → 09/09
