Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 TSI (KH),"CHZJ, DKRF",999,85,115,06/16 →
1.0 TSI,DLAA,999,81,110,09/20 →
1.4 TSI (KH),CZEA,1395,110,150,06/16 →
1.5 TSI (KH),"DADA, DPCA, DXDB",1498,110,150,07/18 →
1.6 TDI (KH),"DDYA, DGTE",1595,85,115,05/16 →
2.0 TDI (KH),"DFFA, DTTA, DTTC",1968,110,150,05/16 →
2.0 TDI (KH),DFHA,1968,140,190,06/16 →
2.0 TDI (KH),CRVA,1968,81,110,11/16 →
2.0 TDI (KH),CRVC,1968,105,143,11/16 →
2.0 TDI (KH),DTRD,1968,85,115,01/21 →
2.0 TSI (KH),"CZPB, DKZA",1984,140,190,06/17 →
2.0 TSI Cupra (KH),"DNFC, DNUE",1984,221,300,10/18 →
