Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 (6P),CHYB,999,55,75,05/15 → 06/17
1.0 TFSI (6P),CHZB,999,70,95,05/15 → 06/17
1.0 TFSI (6P),CHZC,999,81,110,05/15 → 06/17
1.2 (6J),"BZG, CGPA",1198,51,70,05/08 → 05/15
1.2 (6J),"CGPB, CHFA",1198,44,60,08/09 → 05/15
1.2 LPG (6J),BZG,1198,51,70,05/08 → 05/11
1.2 TDI (6J),CFWA,1199,55,75,05/10 → 05/15
1.2 TSI (6J),CBZA,1198,63,86,09/12 → 05/15
1.2 TSI (6P),CJZC,1197,66,90,05/15 → 06/17
1.2 TSI (6J),CBZB,1198,77,105,06/10 → 05/15
1.2 TSI (6P),CJZD,1197,81,110,09/15 → 06/17
1.4 16V (6J),"BXW, CGGB",1390,63,86,05/08 → 05/15
1.4 LPG (6J),BXW,1390,63,86,05/08 → 05/11
1.4 TDI (6J),BMS,1422,59,80,07/08 → 07/10
1.4 TDI (6P),CUSA,1422,55,75,07/15 → 06/17
1.4 TDI (6P),CUSB,1422,66,90,05/15 → 06/17
1.4 TDI (6P),CUTA,1422,77,105,05/15 → 06/17
1.4 TSI (6J),CPTA,1390,103,140,11/13 → 05/15
1.4 TSI (6J),"CAVF, CNUB, CTHF, CTJB",1390,110,150,06/09 → 05/15
1.4 TSI (6P),CZEA,1395,110,150,11/15 → 06/17
1.4 TSI Cupra (6J),"CAVE, CTHE, CTJC",1390,132,180,06/09 → 05/15
1.6 16V (6J),BTS,1598,77,105,05/08 → 05/15
1.6 LPG (6J),CNKA,1598,60,82,05/11 → 05/15
1.6 MPI (6P),CWVB,1598,66,90,05/15 →
1.6 MPI (6P),CWVA,1598,81,110,05/15 →
1.6 TDI (6J),CAYA,1598,55,75,05/10 → 06/11
1.6 TDI (6J),CAYB,1598,66,90,05/09 → 05/15
1.6 TDI (6J),"CAYC, CLNA",1598,77,105,05/09 → 05/15
1.8 TSI Cupra (6P),DAJA,1798,141,192,11/15 → 12/16
1.9 TDI (6J),BXJ,1896,66,90,07/08 → 07/10
1.9 TDI (6J),BLS,1896,77,105,05/08 → 07/10
2.0 (6J),CEKA,1984,85,115,09/08 →
2.0 TDI (6J),CFHD,1968,105,143,01/10 → 05/15
