Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 16V (1M1),"AHW, APE",,55,75,11/99 → 10/05
1.6 (1M1),"AEH, AKL, APF",,74,100,11/99 → 10/05
1.6 (1M1),BFQ,,75,102,10/05 → 06/06
1.6 16V (1M1),"ATN, AUS, AZD, BCB",1595,77,105,11/99 → 10/05
1.8 20V (1M1),"AGN, APG",,92,125,11/99 → 10/05
1.8 20V Cupra R (1M1),AMK,,154,210,01/02 → 10/05
1.8 20V Cupra R (1M1),BAM,1781,165,225,05/03 → 06/06
1.8 20V Turbo (1M1),"APP,AUQ",,132,180,11/99 → 10/05
1.9 SDI (1M1),AQM,,50,68,11/99 → 10/05
1.9 TDI (1M1),"AGR, ALH",,66,90,11/99 → 10/05
1.9 TDI (1M1),"AHF, ASV",,81,110,11/99 → 10/05
1.9 TDI (1M1),ARL,1896,110,150,03/01 → 10/05
1.9 TDI (1M1),ASZ,1896,96,130,03/03 → 10/05
1.9 TDI (1M1),AXR,1896,74,100,10/05 → 06/06
2.8 VR6 Cubra 4 (1M1),"AUE, BDE",,150,204,02/01 → 10/05
