Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 TSI (1P1),CBZB,1198,77,105,02/10 → 12/12
1.4 (1P1),"BXW, CGGB",1390,63,86,06/06 → 12/12
1.4 TSI (1P1),CAXC,1390,92,125,09/07 → 12/12
1.6 (1P1),"BSE, BSF, CCSA, CHGA/LPG, CMXA",,75,102,08/05 → 08/13
1.6 TDI (1P1),CAYB,1598,66,90,11/10 → 12/12
1.6 TDI (1P1),CAYC,1598,77,105,12/09 → 12/12
1.8 TFSI (1P1),"BYT, BZB, CDAA",,118,160,08/07 → 12/12
1.9 TDI (1P1),"BKC, BLS, BXE",1896,77,105,08/05 → 12/10
1.9 TDI (1P1),BXF,,66,90,07/07 → 12/10
2.0 FSI (1P1),"BLR, BLY, BVY, BVZ",,110,150,08/05 → 05/10
2.0 TDI (1P1),"BKD, BMM, CFHC, CLCB",1968,103,140,08/05 → 12/12
2.0 TDI (1P1),AZV,,100,136,08/05 → 05/10
2.0 TDI FR (1P1),"BMN, CEGA, CFJA",,125,170,01/06 → 12/12
2.0 TFSI (1P1),BWA,,136,185,11/05 → 05/06
2.0 TFSI CUPRA (1P1),"BWJ, CDLD",1984,177,240,11/06 → 05/11
2.0 TFSI CUPRA R (1P1),CDLA,1984,195,265,07/09 → 12/12
2.0 TFSI FR (1P1),BWA,,147,200,06/06 → 06/09
2.0 TFSI FR (1P1),CCZB,1984,155,211,07/09 → 12/12
