Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.0 TSI (5F1, 5F8)",DKLB,999,63,86,09/18 →
"1.0 TSI (5F1, 5F5, 5F8)",CHZD,999,85,116,05/15 → 08/18
"1.2 TSI (5F1, 5F5, 5F8)",CJZB,1198,63,86,11/12 → 08/18
"1.2 TSI (5F1, 5F5, 5F8)",CJZA,1198,77,105,11/12 → 04/14
"1.2 TSI (5F1, 5F5, 5F8)",CYVB,1198,81,110,10/13 → 08/18
"1.4 TGI (5F1, 5F5, 5F8)",CPWA,1395,81,110,09/13 →
"1.4 TSI (5F1, 5F5, 5F8)",CMBA,1395,90,122,11/12 → 10/16
"1.4 TSI (5F1, 5F5, 5F8)",CZCA,1395,92,125,05/14 → 08/18
"1.4 TSI (5F1, 5F5, 5F8)","CHPA, CPTA",1395,103,140,11/12 → 11/16
"1.4 TSI (5F1, 5F5, 5F8)","CZEA, CZDA",1395,110,150,05/14 → 08/18
"1.5 TGI (5F1, 5F8)",DHFA,1495,96,131,10/18 →
"1.5 TSI (5F1, 5F8)","DACA, DPBA",1498,96,131,09/18 →
"1.5 TSI (5F1, 5F8)","DADA, DPCA",1498,110,150,09/18 →
"1.6 TDI (5F1, 5F5, 5F8)",CLHB,1598,66,90,11/12 → 08/18
"1.6 TDI (5F1, 5F5, 5F8)",CLHA,1598,77,105,11/12 → 08/18
"1.6 TDI (5F1, 5F5, 5F8)","CRKB, CXXB",1598,81,110,11/12 → 11/16
"1.6 TDI (5F1, 5F5, 5F8)","DDYA, DGTE",1598,85,115,01/17 → 08/18
"1.8 TSI (5F1, 5F5, 5F8)",CJSA,1984,132,180,02/13 → 08/18
"2.0 TDI (5F1, 5F5, 5F8)","CRVA, CRLD",1968,81,110,11/12 →
"2.0 TDI (5F1, 5F5, 5F8)",CRVC,1968,105,143,11/12 →
"2.0 TDI (5F1, 5F5, 5F8)","CKFC, CRMB, CRLB",1968,110,150,11/12 →
"2.0 TDI FR (5F1, 5F5, 5F8)",CRGA,1968,130,177,03/16 →
"2.0 TDI FR (5F1, 5F5, 5F8)","CUPA, CUNA",1968,135,184,11/12 →
"2.0 TSI (5F1, 5F8)",DKZA,1984,140,190,09/18 →
"2.0 TSI Cupra R (5F1, 5F5, 5F8)",CJXG,1984,228,310,11/17 →
"2.0 TSI Cupra (5F1, 5F5, 5F8)",CJXE,1984,195,265,01/14 → 11/16
"2.0 TSI Cupra 280 (5F1, 5F5, 5F8)",CJXA,1984,206,280,01/14 → 11/16
"2.0 TSI Cupra 290 (5F1, 5F5, 5F8)",CJXH,1984,213,290,10/15 → 11/16
"2.0 TSI ST Cupra 300 (5F1, 5F5, 5F8)",CJXC,1984,221,300,11/16 → 08/18
