Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 TSI (KL1),DLAB,999,66,90,03/20 →
1.0 TSI (KL1),DLAA,999,81,110,03/20 →
"1.0 TSI Mild-Hybrid (KL1, KL8)",DLAA,999,81,110,08/20 →
"1.4 TSI e-Hybrid (KL1, KL8)","DGEA, EANA",1395,150,204,05/20 →
"1.4 TSI e-Hybrid Cupra (KL1, KL8)",,1395,180,245,10/20 →
1.5 TGI LNG (KL1),DHFA,1498,96,131,08/20 →
"1.5 TSI (KL1, KL8)",DPCA,1498,110,150,09/22 →
1.5 eTSI (KL1),DFYA,1498,110,150,11/19 →
2.0 TDI (KL1),DSUD,1968,85,116,11/19 →
2.0 TDI (KL1),DSTB,1968,110,150,11/19 →
"2.0 TDI (KL1, KL8)",DTRD,1968,85,115,11/20 →
"2.0 TDI (KL1, KL8)","DTTA, DTTC",1968,110,150,03/23 →
"2.0 TFSI / TSI (KL1, KL8)",DNNA,1984,140,190,03/21 →
"2.0 TSI Cupra (KL1, KL8)",DNPA,1984,180,245,06/21 →
"2.0 TSI Cupra (KL1, KL8)",DNFC,1984,221,300,06/21 →
"2.0 TSI Cupra (KL1, KL8)",DNFB,1984,228,310,06/21 →
