Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6,EZ,1595,54,73,05/91 → 03/99
1.6,1F,1595,52,71,05/91 → 03/99
1.6,1F,1595,55,75,05/91 → 03/99
1.6i,AFT,1595,74,100,11/96 → 03/99
1.8,RP,1781,65,88,05/91 → 03/99
1.8 16V,KR,1781,98,133,05/91 → 03/99
1.8 16V,PL,1781,92,125,05/91 → 03/99
"1.8 GL,GLX",ADZ,1781,66,90,11/93 → 03/99
1.9 D,1Y,1896,50,68,05/91 → 03/99
1.9 D,1Y,1896,47,64,12/95 → 03/99
1.9 TD,AAZ,1896,55,75,05/91 → 03/99
1.9 TDI,AHU/1Z,1896,66,90,08/95 → 03/99
1.9 TDI,AFN,1896,81,110,11/96 → 03/99
2.0,AGG,1984,85,116,05/91 → 03/99
2.0 16V,ABF,1984,110,150,11/93 → 03/99
