Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 16V (1M2),AHW,1390,55,75,07/99 → 05/06
1.6 (1M2),"AEH, AKL",1595,74,100,03/99 → 12/00
1.6 16V (1M2),"AZD, AUS",1595,77,105,10/00 → 05/06
1.8 20V (1M2),"AGN, APG",1781,92,125,03/99 → 05/06
1.8 20V Turbo (1M2),AUQ,1781,132,180,07/02 → 05/06
1.9 SDI (1M2),AQM,1896,50,68,03/99 → 06/04
1.9 TDI (1M2),"AGR, ALH",1896,66,90,03/99 → 05/06
1.9 TDI (1M2),"AHF, ASV",1896,81,110,03/99 → 05/06
1.9 TDI (1M2),ARL,1896,110,150,03/01 → 05/06
1.9 TDI (1M2),ASZ,1896,96,130,03/03 → 05/06
2.3 V5 (1M2),AGZ,2327,110,150,03/99 → 05/01
2.3 V5 20V (1M2),AQN,2327,125,170,10/00 → 05/06
