Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 (5P2),BXW,1390,63,86,05/06 → 05/09
1.4 TSI (5P2),CAXC,1390,92,125,09/07 → 05/09
1.6 (5P2),"BGU, BSE, BSF, CCSA",,75,102,11/04 → 05/09
1.8 TFSI (5P2),"BYT, BZB, CDAA",,118,160,01/07 → 05/09
1.9 TDI (5P2),"BJB, BKC, BLS, BXE",,77,105,11/04 → 05/09
2.0 FSI (5P2),"BLR, BLY, BVY, BVZ",,110,150,11/04 → 05/09
2.0 TDI (5P2),AZV,,100,136,11/04 → 05/09
2.0 TDI (5P2),"BMN, CEGA",,125,170,01/06 → 05/09
2.0 TDI (5P2),"BKD, BMM",,103,140,11/04 → 05/09
2.0 Turbo FSI (5P2),"AXX, BWA",,147,200,05/06 → 05/09
