Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0,"ARV, ATY, AQV",999,37,50,09/99 → 10/02
1.2,"AWY, BMD",,40,54,08/02 → 04/08
1.2 12V,"AZQ, BME",1198,47,65,01/03 → 04/08
1.4,"AME, AQW, ATZ",,50,68,09/99 → 01/03
1.4,"AZE, AZF",,44,60,06/00 → 03/03
1.4 16V,BUD,,59,80,06/06 → 04/08
1.4 16V,"AUA, BBY, BKY",,55,75,09/99 → 04/08
1.4 16V,"AUB, BBZ",,74,100,09/99 → 04/08
1.4 TDI,"AMF, BAY",1420,55,75,04/03 → 10/05
1.4 TDI,BNM,1420,51,70,09/05 → 04/08
1.4 TDI,"BMS, BNV",1420,58,80,09/05 → 04/08
1.9 SDI,ASY,,47,64,09/99 → 04/08
1.9 TDI,"ASZ, BLT",1896,96,130,09/03 → 04/08
1.9 TDI,"ATD, AXR",,74,100,09/99 → 04/08
2.0,"AQY, AZL",1984,85,115,09/99 → 04/08
