Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 12V (5J6/5J9),"BZG, CEVA, CGPA, CHTA",1198,51,70,02/07 → 12/14
1.2 12V (5J6/5J9),"BBM, CHFA, CGPB",1198,44,60,02/07 → 12/14
1.2 LGP (5J6/5J9),CGPA,1198,51,70,10/07 → 11/14
1.2 LPG (5J6/5J9),CHFA,1198,44,60,03/09 → 11/11
1.2 TDI (5J6/5J9),CFWA,1199,55,75,05/10 → 12/14
1.2 TSI (5J6/5J9),CBZA,1198,63,86,03/10 → 12/14
1.2 TSI (5J6/5J9),CBZB,1198,77,105,03/10 → 12/14
1.4 16V (5J6/5J9),"BXW, CGGB",1390,63,86,02/07 → 12/14
1.4 LPG (5J6/5J9),"BXW, CGGB",1390,63,86,10/07 → 11/14
1.4 TDI (5J6/5J9),BNM,1420,51,70,02/07 → 04/10
1.4 TDI (5J6/5J9),"BNV, BMS",1420,59,80,02/07 → 04/10
1.4 TSI RS (5J6/5J9),"CAVE, CTHE",1390,132,180,06/10 → 12/14
1.6 16V (5J6/5J9),"BTS, CFNA",1595,77,105,02/07 → 12/14
1.6 TDI (5J6/5J9),CAYA,1598,55,75,03/10 → 12/14
1.6 TDI (5J6/5J9),CAYB,1598,66,90,03/10 → 12/14
1.6 TDI (5J6/5J9),CAYC,1598,77,105,03/10 → 12/14
1.9 TDI (5J6/5J9),"BLS, BSW",1896,77,105,02/07 → 04/10
