Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 12V DOHC VVT (NJ),CHZB,999,70,95,08/17 →
"1.0 MPI (NJ3, NJ5)",CHYA,999,44,60,09/14 →
"1.0 MPI (NJ3, NJ5)",CHYB,999,55,75,09/14 →
1.0 TSI,"CHZB, DKLD",999,70,95,05/17 →
1.0 TSI,CHZC,999,81,110,05/17 →
"1.2 TSI (NJ3, NJ5)",CJZD,1197,81,110,09/14 →
"1.2 TSI (NJ3, NJ5)",CJZC,1197,66,90,09/14 →
"1.4 TDI (NJ3, NJ5)",CUSB,1422,66,90,09/14 →
"1.4 TDI (NJ3, NJ5)",CUSA,1422,55,75,05/15 →
"1.4 TDI (NJ3, NJ5)",CUTA,1422,77,105,09/14 →
"1.4 TSI (NJ3, NJ5)",CZCA,1395,92,125,02/18 →
"1.6 MPI (NJ3, NJ5)",CWVA,1598,81,110,09/14 →
