Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 TSI (NU),DLAA,999,81,110,09/20 →
1.0 TSI (NU),"CHZJ, DKRA",999,85,116,07/17 →
1.4 TSI (NU),"CZEA, DJKA",1395,110,150,09/19 →
1.5 TSI (NU),DADA,1498,110,150,07/17 →
1.6 SRE (NU),CWVA,1598,81,110,06/20 →
1.6 TDI (NU),"DDYA, DGTE",1595,85,116,07/17 →
2.0 TDI (NU),"DTRB, DTRD",1968,85,116,07/20 →
2.0 TDI (NU),"DFFA, DTTA, DTTC",1968,110,150,07/17 →
2.0 TDI (NU),DFHA,1968,140,190,07/17 →
2.0 TDI (NU),CRVC,1968,105,143,07/18 →
2.0 TSI (NU),DKZA,1984,140,190,04/19 →
