Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.2 TSI (1Z3, 1Z5)",CBZB,1198,77,105,02/10 → 06/13
"1.4 (1Z3, 1Z5)",BCA,1390,55,75,05/04 → 06/06
"1.4 (1Z3, 1Z5)","BUD, CGGA",1390,59,80,06/06 → 06/13
"1.4 TSI (1Z3, 1Z5)",CAXA,1390,90,122,11/08 → 06/13
"1.6 (1Z3, 1Z5)","BGU, BSE, BSF, CCSA, CHGA,CMXA",1595,75,102,05/04 → 06/13
"1.6 FSI (1Z3, 1Z5)",BLF,1598,85,115,05/04 → 11/08
"1.6 TDI (1Z3, 1Z5)",CAYC,1598,77,105,06/09 → 06/13
"1.8 TSI (1Z3, 1Z5)",CDAB,1798,112,152,03/09 → 06/13
"1.8 TSI (1Z3, 1Z5)","BYT, BZB, CDAA, CDAB",1798,118,160,03/07 → 06/13
"1.9 TDI (1Z3, 1Z5)","BJB, BKC, BLS, BXE",1896,77,105,05/04 → 12/10
"2.0 FSI (1Z3, 1Z5)","BLR/X/Y,BVX/Y/Z",1980,110,150,12/04 → 11/08
"2.0 RS (1Z3, 1Z5)","BWA, CCZA",1984,147,200,09/05 → 06/13
"2.0 TDI (1Z3, 1Z5)","AZV, BKD, BMM, CFHC, CLCB",1968,103,140,05/04 → 06/13
"2.0 TDI (1Z3, 1Z5)","CLCA, CFHF",1968,81,110,03/10 → 06/13
"2.0 TDI RS (1Z3, 1Z5)","BMN, CEGA, CFGB",1968,125,170,07/06 → 06/13
