Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 TSI (5E),"CHZD, DKRA",999,85,115,05/16 →
1.2 TSI (5E),"CJZB, CYVA",1198,63,86,01/13 →
1.2 TSI (5E),CJZA,1198,77,105,01/13 →
1.2 TSI (5E),CYVB,1197,81,110,05/15 → 02/17
1.4 TSI (5E),CHPA,1395,103,140,01/13 →
1.4 TSI (5E),CMBA,1395,90,122,01/13 →
1.4 TSI (5E),"CHPB, CZDA",1395,110,150,08/14 →
1.4 TSI G-TEC / TGI CNG (5E),CPWA,1395,81,110,11/13 →
1.5 TSI (5E),DHFA,1498,96,131,06/17 →
1.5 TSI (5E),DADA,1498,110,150,03/17 →
1.5 TSI G-TEC (5E),,1498,96,131,01/19 →
1.6 MPI / SRE (5E),"CWVA, DWYA",1598,81,110,01/14 →
1.6 TDI (5E),CLHA,1598,77,105,01/13 →
1.6 TDI (5E),"CLHB, CXXA, DDYB, DGTB",1598,66,90,01/13 →
1.6 TDI (5E),"CRKB, CXXB, DBKA",1598,81,110,01/13 →
1.6 TDI (5E),"DDYA, DGTA",1598,85,115,02/17 →
1.8 TSI (5E),"CJSA, CJSB",1984,132,180,01/13 →
2.0 RS (5E),CHHB,1984,162,220,07/13 →
2.0 RS (5E),CHHA,1984,169,230,05/15 →
2.0 RS (5E),"DHGA, DLBA",1984,180,245,02/17 →
2.0 TSI (5E),DKZA,1984,140,190,02/17 →
2.0 TDI (5E),CRVA,1968,81,110,01/13 →
2.0 TDI (5E),"CKFC, CYKA, CRMB, DCYA, DFFA",1968,110,150,01/13 →
2.0 TDI (5E),"CKFB, CRVC",1968,105,143,01/13 →
2.0 TDI / RS (5E),"CUPA, CUNA, DJGA",1968,135,184,07/13 →
2.0 TFSI (5E),CZPB,1984,140,190,09/20 →
