Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.0 TSI (NH3, NH1)","CHZB, DKLD",999,70,95,06/17 → 12/19
"1.0 TSI (NH3, NH1)","CHZC, DKRC",999,81,110,06/17 → 12/19
1.2 LPG (NH3),CGPC,1198,55,75,07/12 → 06/15
1.2 LPG (NH3),CBZA,1197,63,85,07/12 → 05/15
1.2 MPI (NH3),CGPC,1198,55,75,10/12 → 06/15
1.2 TSI (NH3),CBZA,1197,63,85,10/12 → 05/15
1.2 TSI (NH3),CBZB,1198,77,105,10/12 → 05/15
"1.2 TSI (NH3, NH1)",CJZD,1197,81,110,05/15 → 12/19
"1.2 TSI (NH3, NH1)",CJZC,1197,66,90,05/15 → 12/19
"1.4 TDI (NH3, NH1)",CUSB,1422,66,90,05/15 → 12/19
1.4 TSI (NH3),CAXA,1390,90,122,10/12 → 06/15
"1.4 TSI (NH3, NH1)",CZCA,1395,92,125,05/15 → 12/19
"1.6 (NH3, NH1)",CWVA,1598,81,110,05/15 → 12/19
"1.6 (NH3, NH1)",CWVB,1598,66,90,05/15 → 12/19
1.6 MPI (NH3),CFNA,1595,77,105,10/12 → 06/15
1.6 TDI (NH3),"CAYC, CLNA",1598,77,105,10/12 → 12/19
1.6 TDI (NH3),CAYB,1598,66,90,10/12 → 05/15
"1.6 TDI (NH3, NH1)",CXMA,1598,85,116,05/15 → 12/19
