Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 12V (5J),BME,1198,47,64,06/06 → 04/10
1.2 12V (5J),"BZG, CGPA",1198,51,69,02/07 → 05/15
1.2 LPG,CGPA,1198,51,69,03/09 → 05/15
1.2 TDI (5J),CFWA,1199,55,75,03/10 → 05/15
1.2 TSI (5J),CBZA,1198,63,86,03/10 → 05/15
1.2 TSI (5J),CBZB,1198,77,105,03/10 → 05/15
1.4 16V (5J),"BXW, CGGB",1390,63,86,06/06 → 05/15
1.4 LPG (5J),"BXW, CGGB",1390,63,86,03/10 → 05/15
1.4 TDI (5J),"BNV, BMS",1420,59,80,06/06 → 04/10
1.4 TDI (5J),BNM,1420,51,70,06/06 → 04/10
1.6 16V (5J),"BTS, CFNA",1595,77,105,06/06 → 05/15
1.6 LPG (5J),BTS,1595,77,105,06/06 → 07/10
1.6 TDI (5J),CAYB,1598,66,90,03/10 → 05/15
1.6 TDI (5J),CAYC,1598,77,105,03/10 → 05/15
1.9 TDI (5J),"BLS, BSW",1896,77,105,06/06 → 04/10
1.9 TDI (5J),AXR,1896,74,100,06/06 → 04/10
