Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 TSI (3V),CZCA,1395,92,125,05/15 →
1.4 TSI (3V),CZDA,1395,110,150,05/15 →
1.4 TSI PHEV (3V),DGEB,1395,160,218,05/20 →
1.5 TSI (3V),DADA,1498,110,150,03/15 →
1.6 TDI (3V),DCXA,1598,88,120,05/15 →
1.8 TSI (3V),"CJSA, CJSC",1798,132,179,05/15 →
2.0 TDI (3V),"DSUB, DTRA",1968,90,122,07/20 →
2.0 TDI (3V),"CRLB, DFEA, DFGA, DSRA, DTSB",1968,110,150,05/15 →
2.0 TDI (3V3),CRGA,1968,130,177,03/15 →
2.0 TDI (3V),"DDAA, DFCA",1968,140,190,05/15 →
2.0 TDI (3V),DTUA,1968,147,200,03/15 →
2.0 TSI (3V),DKZA,1984,140,190,07/19 →
2.0 TSI (3V),CHHB,1984,162,220,05/15 →
2.0 TSI (3V),DNUA,1984,200,272,11/18 →
2.0 TSI (3V),CJXA,1984,206,280,05/15 →
