Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.2 TSI (5J, 5L)",CBZB,1198,77,105,12/09 → 05/15
1.2 TSI (5L),CYVB,1197,81,110,05/14 → 12/17
"1.4 TSI (5J, 5L)",CAXA,1390,90,122,07/10 → 05/15
1.4 TSI (5L),CZCA,1395,92,125,05/15 → 12/17
1.4 TSI (5L),CZDA,1395,110,150,05/15 → 12/17
1.6 MPI (5L),CWVA,1596,81,110,11/13 → 12/17
"1.6 TDI (5J, 5L)",CAYC,1598,77,105,11/10 → 05/15
"1.8 TSI (5J, 5L)",CDAA,1798,118,160,08/09 → 12/17
"1.8 TSI (5J, 5L)",CDAB,1798,112,152,11/09 → 12/17
"2.0 TDI (5J, 5L)","CFHA, CFHF, CLCA, CUUA, DFSA",1968,81,110,11/09 → 12/17
"2.0 TDI (5J, 5L)","CBDB, CFHC, CLCB",1968,103,140,08/09 → 12/17
"2.0 TDI (5J, 5L)","CEGA, CFJA",1968,125,170,11/09 → 05/15
2.0 TDI (5L),"CUUB, DFSB",1968,110,150,05/15 → 12/17
