Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.5 R,,1498,77,105,09/06 → 08/07
1.6,EJ16,1597,70,95,12/00 → 12/05
2.0 GX,EJ20,1994,92,125,12/00 → 12/05
2.0 R,EJ20,1994,118,160,11/05 → 08/07
2.0 WRX,EJ20T,1994,160,218,12/00 → 03/03
2.0 WRX,EJ20T,1994,165,225,02/03 → 12/05
2.0 WRX STI,EJ20T,1994,195,265,02/02 → 12/05
2.0 WRX STI S202,EJ20T,1994,235,320,07/02 → 12/05
2.5 WRX,EJ25,2457,169,230,11/05 → 08/07
2.5 WRX STI,EJ25,2457,206,280,11/05 → 08/07
2.5L AWD,EJ257,2457,221,300,10/05 → 03/07
