Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.0 1005 LS,GLS",1D1,944,29,39,10/76 → 07/78
1.0 Comerciale,,944,29,39,10/61 → 09/75
"1.0 GL,GLS",,944,32,44,10/61 → 05/72
1.0 L,,944,29,39,10/61 → 09/75
1.0 LS (EB),,944,29,39,10/61 → 09/75
"1.0 LS,GL",,944,32,44,10/70 → 09/75
"1.1 1006 SR,GLS",,1118,40,54,10/76 → 07/78
"1.1 GL,Special",,1118,39,53,10/68 → 09/75
"1.1 GLS,S,Rallye",,1118,39,53,10/70 → 09/72
1.3 Rallye 1,1G1,1294,44,60,10/72 → 09/77
1.3 Rallye 2,,1294,60,82,09/72 → 09/76
1.3 Rallye 2,,1294,63,86,10/76 → 09/77
1.3 Rallye 3,,1294,76,103,01/78 → 12/78
1.3 Special,1G1,1294,44,60,08/74 → 09/77
