Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 (AT190),4A-FE,1587,85,116,12/92 → 10/97
1.6 (AT190),4A-FE,1587,79,107,01/93 → 10/97
1.6 (AT190),4A-FE,1587,73,99,01/95 → 10/97
1.6 (AT190),4A-FE,1587,79,107,04/92 → 10/97
1.8 (AT191),7A-FE,1762,79,107,01/95 → 10/97
2.0 (ST191),3S-FE,1998,93,126,12/92 → 10/97
2.0 (ST191),3S-FE,1998,98,133,04/92 → 10/97
2.0 D (CT190),2C,1975,54,73,12/94 → 01/96
2.0 GTi (ST191),3S-GE,1998,116,158,04/92 → 03/94
2.0 GTi 16V (ST191),3S-GE,1998,129,175,03/94 → 10/97
2.0 TD (CT190),2C-T,1975,61,83,01/96 → 10/97
