Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3 (AE80),2A-L,1279,51,69,06/83 → 09/84
1.3 (EE80),2E-L,1295,55,75,01/85 → 08/87
1.6 (AE82),4A-L,1587,62,84,06/83 → 08/87
1.6 (AE82),4A-LC,1587,57,78,08/83 → 08/87
1.6 (AE82),4A-LC,1587,54,73,08/85 → 08/87
1.6 (AE82/86),4A/4A-L,1587,63,86,07/85 → 05/88
1.6 (AE86),4A-C,1587,67,91,06/83 → 12/87
1.6,4A-C,1587,55,75,08/84 → 08/87
1.6 16V (AE86),4A-GEL,1576,85,116,12/85 → 01/88
1.6 GT 16V (AE86),4A-GE,1576,91,124,08/83 → 08/87
1.6 GT 16V FX (AE86),4A-GEL,1587,89,121,08/85 → 08/87
1.8 D (CE80),1C,1839,43,58,06/83 → 05/88
1.8 D (CE80),1C-L,1839,47,64,06/83 → 08/87
