Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3 12V (EE100),2E,1296,53,72,07/92 → 05/95
1.3 XLi (EE101),2E,1332,55,75,09/95 → 04/97
1.3 XLi 16V (EE101),4E-FE,1332,65,88,07/92 → 05/97
1.5 (AE100),5A-FE,1498,77,105,06/91 → 08/94
1.6 (AE101),4A-FE,1587,73,99,05/92 → 04/97
1.6 (AE101),"4A-F, 4A-FE",1587,78,106,09/94 → 12/97
1.6 GLi (AE101),4A-FE,1587,84,114,07/92 → 05/97
1.6 Si (AE101),4A-FE,1587,84,114,07/92 → 05/97
1.8 16V 4WD (AE102),7A-FE,1762,81,110,09/95 → 05/97
1.8 GTi (AE102),7A-FE,1792,81,110,07/92 → 05/97
2.0 D (CE100),2C,1975,53,72,07/92 → 05/97
