Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.8 (YY51),2Y OHV,1811,43,58,08/85 → 08/86
2.0 (YY61),3Y OHV,1998,49,67,08/85 → 08/87
2.4 D (LY60),2L OHC,2445,53,72,08/85 → 08/87
2.5,2KD-FTV,2494,65,88,08/01 →
2.5 D4D,2KD-FTV,2494,75,102,08/01 →
2.8 D (LY61),3L OHC,2778,43,58,08/88 → 08/90
2.8 D,3L,,61,83,05/95 → 08/98
2.8 D (LY61),3L,2779,61,83,08/88 → 05/95
3.0 D,5L,2986,65,88,09/98 → 07/01
3.0 D,1KD-FTV,2982,80,109,09/06 →
3.0 D,1KD-FTV,2982,100,136,10/09 →
3.0 D4d,5L,2986,65,88,08/01 →
