Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 (RH11/16/20/30/4),12RJ,1587,49,66,09/72 → 10/82
1.6 (RH20-30),12R,1577,48,65,02/77 → 11/79
1.6 (RH11/16),12RJ,1577,49,67,01/79 → 12/84
1.6 Pick-Up (RH11),12R,1587,49,66,11/82 → 07/85
1.8 (RH21/31/41),16R,1812,58,79,02/77 → 10/82
1.8 (YH50),2Y,1812,58,79,12/82 → 08/86
1.8 Wagon (H5),2Y,1812,58,79,03/83 → 11/89
2.0 (RH22/32/42),18R,2000,74,101,02/77 → 10/82
2.0 (RH25-32),18R,1968,65,88,07/77 → 03/83
2.0 (YH51/61),3Y,1984,65,88,01/85 → 08/89
2.0 (YH51),3Y,2000,74,101,08/86 → 08/87
2.0 (RZH112),1RZ,2000,74,101,08/89 → 08/93
2.0 (H10),1RZ,1998,74,101,02/90 → 08/95
2.2 D (RH),L,2188,46,62,01/80 → 10/82
2.2 D (LH51),L,2188,46,62,12/82 → 01/84
2.2 D Pick-Up (LH11),L,2188,49,67,11/82 → 07/85
2.2 D Wagon (H5/H5G),L,2173,49,67,03/83 → 11/89
2.4 (H12G),2R-ZE,2438,85,115,01/96 → 04/98
2.4 D (LH51/61),2L,2429,55,75,08/84 → 08/89
2.4 D (LH102),2L,2446,55,75,08/89 → 08/95
2.4 D (H10),2L,2446,55,75,02/90 → 08/95
2.4 D (LH102/112),2L,2446,57,78,10/93 → 08/95
2.4 D (LXH12L),2L,2446,43,58,08/95 →
2.4 D (H12G),2L,2446,58,79,08/95 → 08/06
2.4 D (H12G),2L,2446,55,75,07/99 → 08/06
2.4 D Turbo (LXH12/KLH12/RCH12),2LT,2446,66,90,08/95 → 08/01
2.4 D Wagon (H5),2L,2446,55,75,05/84 → 11/89
2.4i (RZH103),2RZ-E,2438,88,120,08/89 → 08/95
2.4i (RZH115),2RZE Kat.,2438,85,116,08/89 →
2.5 D-4D (H1/H2),2KD-FTV,2494,65,88,10/01 → 08/06
2.5 D-4D (H1/H2),2KD-FTV,2494,75,102,10/01 → 08/06
2.5 D-4D,"2 KD-FTV, H",2494,86,117,10/06 → 12/12
2.5 D-4D,"2 KD-FTV, H",2494,70,95,10/06 → 12/12
2.7 VVTi (TRH201),2TRFE,2694,111,151,01/05 →
"2.7, 2.7 4WD (H18/29)",3RZ-FE,2694,105,143,04/97 → 12/06
3.0 DT (KDH200),1KD-FTV,2982,80,109,11/06 →
3.0 DT (H200),1KD-FTV,2982,100,136,01/05 →
