Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 (RN2),12R,1587,49,67,02/71 → 05/72
"1.6 (RN3, RN4)",12R,1577,48,65,08/78 → 03/84
"1.8 (YN8, YN9)",2Y,1812,61,83,09/89 → 12/93
1.8 (YN5),2Y,1812,58,79,01/83 → 12/89
"2.0 (RN3, RN4)",18R,1994,,,05/79 → 10/84
2.0 (YN5),3Y,1998,65,88,01/84 → 12/86
2.0,1TR-FE,1998,98,133,02/05 → 05/15
2.0,1AZ-FSE,1998,108,147,02/05 → 05/15
2.0 8V SOHC (RZN147),1RZ-FE,1998,80,109,11/97 → 10/02
2.3 4WD (YN5),4Y,2237,69,94,01/87 → 03/89
"2.4 (RN1, RN5, RN6)",22R,2383,84,114,06/89 → 08/98
"2.4 4WD (RN1, RN5, RN6)",22R,2383,84,114,06/89 → 12/95
2.4 D (LN1),2L,2446,55,75,07/98 → 01/02
2.4 D,,2446,73,99,08/91 → 07/97
"2.4 D (LN5, LN6, LN8)",2L,2446,59,80,08/91 → 03/95
"2.4 D (LN5, LN6, LN8)",2L,2466,59,80,01/84 → 03/89
"2.4 D (LN5, LN6, LN8)",2L,2446,61,83,03/89 → 12/95
2.4 D (GUN12),2GD-FTV,2393,110,150,06/15 →
"2.4 D (GUN112_, GUN122_, GUN135_)",2GD-FTV,,110,150,05/15 →
2.4 TD 4WD (LN1),2L-T,2446,66,90,08/98 → 01/02
2.4 i 4WD (RZN1),2RZ-FE,2438,103,140,08/97 → 07/05
"2.5 D-4D (KUN1, KUN2)",2KD-FTV,2494,88,120,08/05 → 05/15
2.5 D-4D (KDN1),2KD-FTV,2494,65,89,10/01 → 07/05
2.5 D-4D (KDN1),2KD-FTV,2494,75,102,10/01 → 07/05
"2.5 D-4D (KUN1, KUN2)",2KD-FTV,2494,75,102,08/05 → 05/15
"2.5 D-4D (KUN1, KUN2)",2KD-FTV,2494,106,144,12/07 → 05/15
2.7 (RZN1_),3RZ-FE,2693,108,147,08/01 → 07/04
"2.7 (TGN166_,TGN168_) (_N15, _N16)",2TR-FE,2694,122,166,05/15 →
2.7 4WD (TGN16),2TR-FE,2694,118,160,08/05 → 05/15
"2.8 D (GUN112_, GUN122_, GUN135_)",1GD-FTV,,150,204,01/20 →
3.0 D (4WD (KUN26)),1KD-FTV,2982,120,163,01/06 → 12/11
3.0 D (KUN15),1KD-FTV,2982,145,197,01/06 → 12/12
3.0 D (5LE) (LN14/15/16),5LE,2986,71,97,12/00 → 04/05
3.0 D (KUN16) (KUN16),D-4D (1KD-FTV),2982,126,171,08/05 → 09/06
3.0 D 4WD (CD / CS / DX / SR / SRV / 4x2 / 4x4),5LE,2986,66,90,01/02 → 07/05
"3.0D-4D (KUN1, KUN2)",1KD-FTV,2982,126,171,03/07 → 09/15
4.0 4WD (GGN15/25),1GR-FE,3956,175,238,08/05 →
4.0 VVTi 4WD (SW4),1GR-FE,3956,175,238,01/10 → 06/12
