Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.4 (RJ70/73),22R,2350,77,105,01/84 → 12/86
2.4 (RJ70/73),22R,2350,81,110,11/84 → 12/89
2.4 (RJ70/73),22REKat.,2366,84,114,12/88 → 12/96
2.4 D (LJ70),2L,2429,53,72,11/84 → 10/85
2.4 TD (LJ70/73),2L-T,2429,63,86,10/85 → 01/90
2.4 TD (LJ70),2L-T,2446,66,90,01/90 → 05/96
2.4 TD (LJ77),2L-T,2446,66,90,01/90 → 05/96
2.7 (J15 Prado),2TR-FE,2694,120,163,08/09 → 09/13
2.7 16V (J9/90/95/Prado),3RZ-FE,2694,112,152,10/96 → 08/04
2.8 D-4D (J15),1GD-FTV,,130,177,06/15 →
2.8 D-4D (J15),1GD-FTV,2755,147,200,10/18 →
3 0 TD (KZJ70),1KZ-T,2982,92,125,05/93 → 05/96
3.0 D (BJ40/43),B,2977,59,80,02/74 → 10/84
3.0 D (J12),1KD-FTV,2982,70,95,04/02 → 02/10
3.0 D (KDJ125),1KZ-TE,2982,96,131,08/05 → 12/10
3.0 D-4D (J90/95),1KD-FTV,2982,120,163,11/00 → 02/03
3.0 D-4D (KZJ12),1KZ-TE,2982,92,125,09/02 → 02/10
3.0 D-4D (J12),1KD-FTV,2982,120,163,01/03 → 12/04
3.0 D-4D (J12),1KD-FTV,2982,122,166,11/04 → 02/10
3.0 D-4D (J12),1KD-FTV,2982,127,173,12/06 → 02/10
3.0 D-4D (J12),1KD-FTV,2982,150,204,08/06 → 07/09
3.0 D-4D (J15),1KD-FTV,2982,140,190,01/10 →
3.0 D-4D (J15),1KD-FTV,2982,127,173,03/10 →
3.0 TD (KZJ90/95),1KZ-TE,2982,92,125,04/96 → 12/02
3.4 D (BJ42/45/46/60),3B,3432,66,90,08/80 → 08/87
3.4 D (BJ70/73),3B,3431,70,95,03/89 → 12/96
3.4 TD (BJ71),13BT,3431,91,124,10/85 → 08/86
3.4i 24V (VZJ90/95),5VZFE,3378,131,178,04/96 → 08/02
3.5 D,1PZ,3470,85,116,01/90 → 12/94
3.9 (FJ40/43/45/55)),F,3878,96,131,03/69 → 01/75
4.0 (FJ62),3F,,101,138,01/84 → 08/87
4.0 (FJ62),3F-E,3956,115,156,08/87 → 12/89
4.0 D (HJ60/HJ47),2H,3953,74,101,08/80 → 12/85
4.0 D (HJ60),2H,3953,76,103,01/85 → 12/87
4.0 D Wagon (HJ60),2H,3953,77,105,10/81 → 01/88
4.0 TD (HJ61),12HT,3953,100,136,08/87 → 12/89
4.0 V6 (J12),1GR-FE,3956,183,249,01/03 → 08/04
4.0 V6 (J12),1GR-FE,3956,203,276,08/05 → 07/09
4.0 V6 Dual VVTi (J15),1GR-FE,3956,205,279,01/10 →
4.0 V6 VVTi (J15),1GR-FE,3956,183,249,01/10 →
4.0 V6 VVTi (J15),1GR-FE,3956,207,282,01/10 →
4.0i (FJ80),3-FE,,115,157,01/90 → 08/92
4.2 (FJ45-62),2F,4197,89,121,01/75 → 01/88
4.2 D (HZJ70/80),1H-Z,4164,97,132,01/90 → 12/97
4.2 D,1H-Z,4164,123,167,08/90 → 08/01
4.2 D 12V SOHC (HZJ105),1H-Z,4164,96,131,05/98 → 08/07
4.2 TD (HZJ80),1HD-T,4164,123,167,01/90 → 12/97
4.2 TD (HDJ80),1HD-T,4164,118,160,10/92 → 12/97
4.2 TD (HDJ80),1HD-FT,4164,125,170,03/95 → 12/97
4.2 TD (HDJ100),1HD-FTE,4164,150,204,01/98 → 07/03
4.2 TD (J20),,4164,150,204,01/10 →
4.5 24V (FZJ80),1FZ-FE,4477,151,205,08/92 → 12/97
4.5 24V (FZJ80),1FZ-FE,4477,215,292,08/92 → 12/97
4.5 D-4D (J20),1VD-FTV,4461,173,235,08/07 →
4.5 D-4D (J20),1VD-FTV,4461,200,272,03/12 →
4.5 D-4D,1VD-FTV,4461,183,249,08/15 →
4.5 D-4D (J20),1VD-FTV,4461,210,286,01/08 →
4.5 I (FZJ105_),1FZ-FE,,173,235,01/98 → 07/08
4.6 32V DOHC VVT (URJ202),1UR-FSE,4608,228,310,03/12 →
4.7 V8 (J20),,4664,212,288,01/08 →
4.7 V8 (UZJ200),2UZ-FE,4664,232,315,01/08 →
4.7 V8 (J20),,4664,175,238,01/10 →
4.7 V8 32V (UZJ100/LC100),2UZ-FE,4664,173,235,01/98 → 08/07
4.7 V8 32V (UZJ100/LC100),2UZ-FE,4664,175,238,02/02 → 08/07
5.7 V8 (URJ200_),3UR-FE,5663,270,367,09/11 →
