Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 (KP60),2K,986,33,45,02/78 → 09/84
1.0 (EP 70L),1E-L,992,40,54,10/84 → 12/89
1.0 (EP80.),,999,40,54,12/89 → 12/92
1.2 S (KP62),3K-H,1158,39,53,10/78 → 08/82
1.3 (EP71L),2E-LC,1280,55,75,10/84 → 12/89
1.3 (EP91),4E-FE,1332,55,75,04/96 → 03/99
1.3 (EP81),2E-E,1296,55,75,12/89 → 03/96
1.3 (KP6_),4K-C,1290,43,58,09/80 → 12/84
1.3 S (KP61),4K,1281,48,65,08/82 → 09/84
1.4 D (NP70L),1N,1443,40,54,12/86 → 12/89
1.5 D,1N,1453,40,54,12/89 → 03/96
