Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
CF 2/230 2.0,2.0 Petrol,2000,,,05/84 → 07/87
CF 2/230 2.3 Diesel,Opel D. 2.3,2260,,,05/84 → 07/87
CF 2/250 2.3,2.3 Petrol,2260,,,05/84 → 07/87
CF 2/250 2.3 Diesel,Opel D. 2.3,2260,,,05/84 → 07/87
CF 2/280 2.0,2.0 Petrol,2260,,,05/84 → 07/87
CF 2/280 2.3 Diesel,Opel D. 2.3,2260,,,05/84 → 07/87
CF 2/350 2.0 / 2.3,2.0/2.3 Petrol,,,,05/84 → 07/87
CF 2/350 2.3 D,Opel D. 2.3,2260,,,05/84 → 07/87
CF 230 2.0 / 2.3,2.0/2.3 Petrol,,,,01/78 → 04/84
CF 230 2.1 Diesel,Opel D. 2.1,2080,,,01/78 → 04/84
CF 250 2.1 D / 2.3 D,Opel D. 2.1/2.3,,,,01/78 → 04/84
CF 250 2.3,2.3 Petrol,2279,,,01/78 → 04/84
CF 280 2.0 / 2.3,2.0/2.3 Petrol,,,,01/78 → 04/84
CF 280 2.1 D / 2.3 D,Opel D. 2.1/2.3,,,,01/78 → 04/84
CF 350 2.1 D / 2.3 D,Opel D. 2.1/2.3,,,,01/78 → 04/84
CF 350 2.3,2.3 Petrol,2279,,,01/78 → 04/84
CF Van,Perkins-4.108,,,,01/68 → 12/77
CF Van,Perkins-4.154,,,,01/70 → 12/77
CF Van 1.8,1.8 Petrol,1800,,,01/72 → 12/77
CF Van 2.1 Diesel,Opel D. 2.1,2100,,,01/70 → 12/77
