Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 16V (Mk II),Z 12 XEP,1229,59,80,07/09 →
1.3 CDTI (Mk II),Z 13 DT,1248,55,75,12/05 → 02/12
1.3 CDTI (Mk II),Z 13 DT,1248,51,70,06/04 → 01/06
1.4 16V (Mk II),Z 14 XEP,1389,66,90,06/04 → 11/11
1.4 16V (Mk II),Z 14 XE,1389,66,90,06/04 → 05/07
1.6 (Mk II),Z 16 SE,1598,64,87,11/01 → 08/04
1.6 CNG (Mk II),Z 16 YNG,1598,71,97,06/05 → 02/12
1.7 CDTI (Mk II),Z 17 DTH,1686,74,100,06/04 → 11/11
1.7 DI (Mk II),Y 17 DTL,1686,48,65,11/01 → 08/04
1.7 DTI (Mk II),Y 17 DT,1686,55,75,11/01 → 08/04
