Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3,13 S (55KW),1297,55,75,09/81 → 08/88
1.4,14 NV,1389,55,75,09/88 → 11/95
1.6,16 SH,1598,66,90,09/81 → 08/88
1.6,16 SV,1598,60,82,09/88 → 11/95
1.6 D,16 DA,1598,40,54,03/82 → 08/88
1.6 N,16 N (44KW),1584,44,60,08/75 → 08/81
1.6 N,,1584,44,60,03/75 → 08/75
1.6 S,16 S (55KW),1584,55,75,10/75 → 08/81
1.6i,X 16 SZ,1598,52,71,09/93 → 11/95
1.7 D,17 D,1699,42,57,09/88 → 11/95
1.7 D Cat,17 DR,1700,44,60,07/92 → 11/95
1.7 TD,17 DT (TC4EE1),1686,60,82,09/88 → 11/95
1.8,C 18 NZ,1796,66,90,09/88 → 11/95
1.8i,18 E,1796,85,115,09/81 → 08/88
1.8i,18 SE,1796,82,112,09/81 → 08/88
1.9 S,19 S,1897,66,90,10/75 → 03/78
2.0 S,20 S,1979,74,100,03/78 → 08/81
2.0i,20 SEH,1998,95,129,09/88 → 11/95
2.0i,20 SEH,1998,95,129,03/87 → 08/88
2.0i,C 20 NE,1998,85,115,09/88 → 11/95
2.0i,20 NE,1998,85,115,09/86 → 08/88
2.0i 16V,C 20 XE,1998,110,150,09/88 → 11/95
2.0i 16V,X 20 XEV,1998,100,136,09/93 → 11/95
2.0i 16V,,1998,115,156,09/88 → 11/95
2.0i 16V 4x4,C 20 XE,1998,110,150,09/88 → 11/95
2.0i 4x4,20 SEH,1998,95,129,09/88 → 11/95
2.0i Turbo,C 20 LET,1998,150,204,06/92 → 11/94
2.5 V6,C 25 XE,2498,125,170,02/93 → 11/95
