Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3 CDTi,A13DTE,1248,70,95,03/10 →
1.3 CDTi,A13DTC,1248,55,75,03/10 →
1.4,"A14NEL, B14NEL",1398,88,120,03/10 →
1.4,"A14XER, B14XER",1398,74,100,03/10 →
1.4,"A14NET, B14NET",1398,103,140,03/10 →
1.4 LPG,"A14NEL, B14NEL",1398,88,120,04/11 →
1.6 CDTI,B16DTH,1598,100,136,04/13 →
1.6 CDTI,B16DTL,1598,81,110,04/14 →
1.6 CDTI,B16DTC,1598,70,95,04/14 →
1.7 CDTi,A17DTC,1686,81,110,03/10 →
1.7 CDTi,A17DTS,1686,96,130,03/10 →
1.7 CDTi,A17DT,1686,74,100,03/10 →
