Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 TDI 16V,X20 DTH,1994,74,100,07/97 → 12/00
2.0i,X20 SE,1998,85,116,04/94 → 12/99
2.0i 16V,X20 XEV,1998,100,136,04/94 → 12/99
2.2 DTI 16V,Y 22 DTH,2171,88,120,09/00 → 03/04
2.2i,Y/Z 22 XE,,106,144,09/99 → 06/03
2.5 DTI,Y 25 DT,2497,110,150,09/01 → 03/04
2.5 TD,U/X25 DT,2497,96,131,04/94 → 07/01
2.5i V6,X25 XE,2498,125,170,04/94 → 12/00
2.6 V6,Y 26 SE,2597,132,180,10/00 → 03/04
3.0i V6,X30 XE,2962,155,211,04/94 → 07/00
3.2 V6,Y 32 XE / SE,,160,218,03/01 → 03/04
