Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 16V,Z16XE,1598,74,100,03/02 → 10/08
1.6 16V,Z16XEP,1598,77,105,01/06 → 10/08
1.8 16V,Z18XEL,1796,81,110,03/02 → 10/08
1.8 16V,Z18XER,1796,103,140,02/06 → 10/08
1.8 16V,Z18XE,1796,90,122,03/02 → 10/08
1.9 CDTI,"Z19DT, Z19DTJ",1910,88,120,04/04 → 10/08
1.9 CDTI,Z19DTL,1910,74,100,09/05 → 10/08
1.9 CDTI,Z19DTH,1910,110,150,04/04 → 10/08
2.0 DTI 16V,Y20DTH,1995,74,100,03/02 → 10/08
2.0 Turbo,Z20LET,1988,129,175,03/03 → 10/08
2.2 16V,Z22SE,2198,108,147,03/02 → 10/08
2.2 16V direct,Z22YH,2198,114,155,09/03 → 10/08
2.2 DTI 16V,Y22DTR,2171,92,125,03/02 → 10/08
2.8 V6 Turbo,Z28NET,2792,188,255,11/05 → 10/08
2.8 V6 Turbo,Z28NET,2792,206,280,09/06 → 10/08
2.8 V6 Turbo,Z28NEL,2792,169,230,09/05 → 10/08
3.0 V6 CDTI,Z30DT,2962,135,184,09/05 → 10/08
3.0 V6 CDTI,Y30DT,2962,130,177,09/03 → 08/05
3.2 V6,Y32SE,3175,155,211,03/02 → 10/08
