Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 16V,"X16 XEL, Z16 XE",1598,74,100,02/99 → 07/05
1.8 16V,Z18 XE,1796,92,125,10/00 → 07/05
1.8 16V,X18 XE1,1796,85,115,02/99 → 12/99
2.0 DTI 16V,Y20 DTH,1995,63,86,11/03 → 07/05
2.0 DTI 16V,Y20 DTH,1998,74,100,10/00 → 07/05
2.0 DTI 16V,X20 DTL,1998,60,82,02/99 → 12/00
2.0 OPC Turbo,Z20 LET,1998,141,192,04/01 → 07/05
2.0 OPC Turbo,Z20 ZET,1998,147,200,12/02 → 07/05
2.2 16V,Z22 SE,2198,108,147,10/00 → 07/05
2.2 DTI 16V,Y22 DTR,2171,92,125,01/02 → 07/05
3.0 V6 CDTI,Y30DT,2962,130,177,09/03 → 07/05
