Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.1 TD (2217),GAZ32213,2134,81,110,09/97 → 03/14
"2.1 TD (2310, 2752)",GAZ-560,2134,81,110,09/97 → 04/13
2.3 (2310),ZMZ406,2280,65,88,09/97 → 04/13
2.3 (2217),ZMZ-4062.10,110,81,110,09/97 → 04/13
2.4 (2310),ZMZ-402.10,2445,56,76,09/97 → 04/13
2.4 (2310),ZMZ-402.10,2445,66,90,09/97 → 04/13
2.4 (2310),ZMZ-402.10,2445,63,86,09/97 → 04/13
2.5 (2217),ZMZ-4026.10,2446,63,86,09/97 → 04/13
2.5,ZMZ-40522.10,2464,103,140,09/01 → 04/13
"2.8 TD (2217, 2310)",8S3129T,2776,88,120,08/10 →
2.9 (2310),UMZ-4215.10,2890,71,96,01/99 → 04/13
