Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 (L),B 16 F,1596,61,83,07/92 → 07/96
1.7,B 18 KD,1721,58,78,09/89 → 08/91
1.7 (L),B 18 KP,1721,64,87,09/88 → 07/96
1.7 (L),B 18 EP,1721,75,102,08/89 → 07/92
1.7 (L),,1721,80,109,08/89 → 07/92
1.7 (L),,1721,66,90,09/90 → 07/96
1.7 Turbo (L),B 18 FT,1721,88,120,08/89 → 07/96
1.7 Turbo (L),,1721,90,122,01/91 → 07/96
1.8 (L),B 18 U,1794,66,90,08/91 → 07/96
1.9 TD (L),D 19 T,1870,66,90,07/94 → 07/96
2.0 (L),B 20 F,1998,81,110,08/92 → 07/95
2.0 (L),B 20 F,1998,80,109,08/93 → 07/96
