Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6,B 4164 S3,1596,74,100,12/06 → 10/10
1.6 D2,D 4162 T,1560,84,114,10/10 → 12/12
1.6 Diesel,D 4164 T,1560,80,109,12/06 → 09/10
1.8 / 1.8 Flexifuel,B 4184 S11/ S8,1798,92,125,12/06 → 11/09
2.0 / 2.0 FlexFuel,B 4204 S3 / B 4204 S4,1999,107,145,12/06 → 12/12
2.0 D3,D 5204 T,1984,110,150,10/10 → 12/12
2.0 D4,D 5204 T5,1984,130,177,10/10 → 12/12
2.0 Diesel,D 4204 T,1998,100,136,12/06 → 10/10
2.4,B 5254 T3,2435,125,170,12/06 → 04/10
2.4 D5,D 5244 T8,2401,132,180,12/06 → 04/10
2.5 T5,B 5244 T3,2521,162,220,12/06 → 12/08
2.5 T5,D 5254 T7,2521,169,230,03/07 → 12/12
Electric,,,82,111,12/10 → 12/12
