Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 T,B5204T5,1984,132,180,07/00 → 04/10
2.3 T5,B5234T3,2319,184,250,07/00 → 06/04
2.4,B5244S2,2435,103,140,07/00 → 04/10
2.4,B5244S,2435,125,170,07/00 → 04/10
2.4 CDI,D 5244 T3,2401,85,116,10/03 → 12/05
2.4 D,D 5244T,2401,96,130,10/01 → 04/10
2.4 D,D 5244T7,2401,92,126,05/05 → 04/10
2.4 D5,D5244T2,2401,120,163,03/01 → 04/10
2.4 D5,D5244T4,2401,136,185,08/05 → 04/10
2.4 T,B5244T3,2435,147,200,07/00 → 12/02
2.4 T5 20V,B5244T5,2401,191,260,06/04 → 04/10
2.5 R AWD,B5254T4,2521,221,300,03/03 → 04/10
2.5 T,B5254T2,2521,154,210,10/02 → 04/10
