Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 B3 Mild-Hybrid,B 420 T3,1969,120,163,03/20 →
2.0 B4 Mild Hybrid,D 420 T8,1969,145,197,03/20 →
2.0 B4 Mild-Hybrid,B 420 T6/T5,1969,145,197,03/20 →
2.0 B5 Mild-Hybrid,"B 420 T2, T10",1969,184,250,03/20 →
2.0 B6 Mild-Hybrid,B 420 T,1969,220,299,03/20 →
2.0 D3,"D 4204 T16, D 4204 T4",1969,110,150,06/18 →
2.0 D4,D 4204 T14,1969,140,190,06/18 →
2.0 D4 Polestar,D 4204 T14,1969,147,200,02/18 →
2.0 T4,B 4204 T31,1969,140,190,02/19 →
2.0 T4,B 4204 T31,1969,155,210,07/19 →
2.0 T5,"B 4204 T20, T23, T26",1969,184,250,06/18 →
2.0 T6,B 4204 T29,1969,228,310,06/18 →
2.0 T6 Drive-E Polestar,B 4204 T48,1969,233,317,02/19 →
2.0 T6 Drive-E Polestar,B 4204 T29,1969,240,326,02/18 →
2.0 T6 Hybrid Polestar,B 4204 T39,1969,245,333,05/19 →
2.0 T6 Plug-in Hybrid,,1969,186,253,03/19 →
2.0 T6 Polestar,B 4204 T29,1969,240,326,05/19 →
2.0 T6 Twin Engine,B 4204 T52,1969,257,349,01/22 →
2.0 T8 Hybrid,B 4204 T34,1969,223,303,06/18 →
2.0 T8 Plug-in Hybrid,"B 4204 T27, T35",1969,233,318,05/19 →
2.0 T8 Plug-in Hybrid,B 4204 T56,1969,335,455,01/22 →
2.0 T8 Recharged,"B 4204 T53, T57",1969,317,431,01/23 →
2.0 T8 Twin Engine Polestar,B 4204 T48,1969,233,317,10/19 →
