Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 20V Turbo,B 5204 T4/5,1984,120,163,05/98 → 07/06
2.0 20V Turbo,B 5204 T3,1984,166,226,05/98 → 07/06
2.0 Turbo,B 5204 T5,1984,132,180,12/99 → 07/06
2.4 20V,B 5244 S/S2,2435,103,140,05/98 → 07/06
2.4 20V,B 5244 S,2435,125,170,05/98 → 07/06
2.4 20V Bi-Fuel,"B 5244 SG, B 5244 SG2",2435,103,140,09/01 → 07/06
2.4 D,D 5244T,2401,96,130,09/01 → 07/06
2.4 D5,D 5244T2,2401,120,163,03/01 → 07/06
2.4 D5,D 5244T3,2401,136,185,08/05 →
2.4 T,B 5244 T3,2435,147,200,11/00 → 07/06
2.5 T,B 5254 T2,2521,154,210,07/03 → 07/06
2.5 TDI,D 5252 T,2461,103,140,01/99 → 07/01
2.8 24V Turbo,B6284T,2783,200,272,05/98 → 07/06
2.9 24V,B 6304 S3,2922,150,204,05/98 → 07/06
2.9 24V,B 6294 S,2922,147,200,03/99 → 07/06
3.0 24V,B 6294 S2,2922,144,196,06/01 → 07/06
3.0 T6,B 6294 T,2922,200,272,06/01 → 07/06
