Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 B4 Mild-Hybrid,"B 420 T6, D 420 T8, D 4204 T8",1969,145,197,03/20 →
2.0 B5 Mild-Hybrid,"B 4204 T26, B 420 T2/T10",1969,184,250,03/20 →
2.0 B5 Mild-Hybrid,,1969,196,266,03/20 →
2.0 B6 Mild-Hybrid,"B 420 T, B 4204 T29",1969,220,299,03/20 →
2.0 B6 Mild-Hybrid,B 420 T,1969,256,348,03/20 →
2.0 D3,D 4204 T9 / D 4204 T4,1969,110,150,03/16 →
2.0 D4,D 4204 T14,1969,140,190,03/16 →
2.0 D4,D 4204 T7,1969,120,163,09/18 →
2.0 D4 Drive-E Polestar,D 4204 T14,1969,147,200,03/16 →
2.0 D5,D 4204 T23,1969,173,235,03/16 →
2.0 D5 Mild Hybrid,D 420 T2,1969,180,245,03/23 →
2.0 D5 Mild Hybrid,D 420 T2,1969,173,235,12/20 →
2.0 D5 Polestar,D 4204 T23,1969,176,239,10/16 →
2.0 T4,B 4204 T31,1969,140,190,10/17 →
2.0 T4 Polestar,B 4204 T31,1969,155,210,10/17 →
2.0 T5,B 4204 T23,1969,187,254,03/16 → 12/18
2.0 T5,B 4204 T26,1969,184,250,10/17 →
2.0 T5 Drive-E Polestar,B 4204 T23,1969,192,261,10/16 → 12/18
2.0 T5 Drive-E Polestar,B 4204 T26,1969,186,253,10/17 →
2.0 T6,B 4204 T27,1969,235,320,03/16 → 12/17
2.0 T6,B 4204 T29,1969,228,310,10/17 →
2.0 T6 Drive-E Polestar,B 4204 T29,1969,240,326,10/17 →
2.0 T6 Plug in Hybrid,B 4204 T46,1969,250,340,06/20 →
2.0 T6 Plug in Hybrid,B 4204 T52,1969,257,349,01/22 →
2.0 T8 Hybrid,B 4204 T34,1969,223,303,04/18 →
2.0 T8 Hybrid,B 4204 T35,1969,299,407,03/16 →
2.0 T8 Plug-in-Hybrid,B 4204 T34,1969,287,390,06/20 →
2.0 T8 Plug-in-Hybrid,B 4204 T35,1969,246,334,03/16 →
2.0 T8 Plug-in-Hybrid,B 4204 T56,1969,335,455,01/22 →
2.0 T8 Plug-in-Hybrid,"B 4204 T53, T57",1969,340,462,04/22 →
2.0 T8 Polestar,B 4204 T34,1969,233,317,05/18 →
