Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6,B 4164 S3,1596,74,100,12/04 → 12/12
1.6 D2,D 4162 T,1560,84,114,01/10 → 12/12
1.6 Diesel,D 4164 T,1560,80,109,12/04 → 12/12
1.8 / 1.8 Flexifuel,B 4184 S11 / S8,1798,92,125,05/04 → 12/10
2.0 / 2.0 FlexFuel,B 4204 S3 / B 4204 S4,1999,107,145,09/06 → 12/12
2.0 D3,D 5204 T5,1984,110,150,01/10 → 12/12
2.0 D4 (545),D 4204 T2,1997,96,131,07/05 → 12/06
2.0 D4,D 5204 T,1984,130,177,01/10 → 12/12
2.0 Diesel,D 4204 T,1998,100,136,04/04 → 12/10
2.4,B 5244 S5,2435,103,140,03/04 → 12/10
2.4,B 5244 S,2435,125,170,03/04 → 12/10
2.4 D5,D 5244 T9,2401,120,163,05/07 → 12/10
2.4 D5,D 5244 T8,2401,132,180,06/06 → 12/10
2.5 T5,B 5244 T3,2521,162,220,03/04 → 12/07
2.5 T5,D 5244 T7,2521,169,230,03/07 → 12/12
