Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 Turbo,B 5204 T5,1984,132,180,03/00 → 09/07
2.3 T5 20V,B 5234 T3,2319,184,250,03/00 → 06/04
2.4 (HP),B 5244 S,2435,125,170,03/00 → 09/07
2.4 (LP),B 5244 S2/SG/SG2,2435,103,140,03/00 → 09/07
2.4 D,D 5244T,2401,96,130,06/01 → 09/07
2.4 D,D 5244T,2401,93,126,05/05 → 09/07
2.4 D5,"D 5244T, D 5244T2, D 5244T5",2401,120,163,06/01 → 09/07
2.4 D5,D 5244T4,2401,136,185,08/05 → 09/07
2.4 T,B 5244 T3,2435,147,200,03/00 → 12/02
2.4 T AWD (Cross Country),B 5244 T3,2435,147,200,03/00 → 09/02
2.4 T5 20V,B 5244 T5,2401,191,260,06/04 → 09/07
2.5 R AWD,B 5254 T4,2521,221,300,03/03 → 09/07
2.5 T AWD,B 5254 T2,2521,154,210,10/02 → 09/07
2.5 TDI,D 5252,2461,103,140,03/00 → 09/01
