Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 D,D 4164 T,1560,80,109,01/10 → 12/11
1.6 D2,D 4162 T,1560,84,114,06/11 → 12/15
1.6 T4,B 4164 T,1598,132,180,11/10 → 12/15
2.0,B 5204 T9,1984,157,213,03/13 → 12/15
2.0,"B 4204 S3, B 4204 S4",1999,107,145,10/07 → 09/10
2.0 BiFuel,,1984,157,213,03/13 → 12/15
2.0 D,D 4204 T,1997,100,136,10/07 → 04/10
2.0 D2,D 4204 T20,1969,88,120,03/15 → 04/16
2.0 D3,D 4204 T9,1969,110,150,03/15 → 04/16
2.0 D3,D 5204 T7,1984,100,136,03/10 → 12/15
2.0 D3 (135),D 5204 T7,1984,100,136,09/13 →
2.0 D3/D4,"D 5204 T2, D 5204 T3",1984,120,163,05/10 → 12/15
2.0 D4,D 4204 T5,1969,133,181,11/13 → 04/16
2.0 T,B 4204 T6,1999,149,203,04/10 → 12/11
2.0 T4,B 4204 T19,1969,140,190,03/15 → 04/16
2.0 T5,B 4204 T7,1999,177,241,11/10 → 12/14
2.0 T5,B 4204 T11,1969,180,245,11/13 → 04/16
2.4 CDI (285),D 5244 T6,2401,90,122,07/05 → 12/08
2.4 D,D 5244 T5,2400,120,163,08/07 → 12/10
2.4 D,D 5244 T14,2400,129,175,04/09 → 05/10
2.4 D4,D 5244 T17,2400,120,163,01/13 → 12/15
2.4 D4 (135),,2400,120,163,09/13 →
2.4 D4,D 5244 T12,2400,133,181,11/13 → 04/16
2.4 D5,D 5244 T4,2400,136,185,08/07 → 03/09
2.4 D5,"D 5244 T11, D 5244 T15",2400,158,215,06/11 → 12/15
2.4 D5,D 5244 T10,2400,151,205,04/09 → 12/11
2.4 D5 (135),,2400,169,230,03/11 → 04/16
2.5 T,"B 52454 T6 , B 5254 T8",2521,147,200,08/07 → 12/09
2.5 T,"B5254T10, B5254T11",2521,170,231,10/09 → 12/12
3.0 (135),B 6304 T4,2953,242,329,11/13 → 04/16
3.0 T6,B 6304 T4,2953,224,304,04/10 → 12/15
3.0 T6,B 6304 T2,2953,210,285,08/07 → 05/09
3.2,B 6324 S,3192,175,238,08/07 → 04/10
3.2 AWD,B 6324 S5,3192,179,243,05/10 → 12/15
