Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 D3,D 5204 T2/T3,1984,120,163,05/10 → 12/15
2.0 D4,D 4204 T5,1969,133,181,11/13 → 04/16
2.0 T5,B 4204 T11,1969,180,245,11/13 → 12/16
2.4 D,"D 5244 T5, D 5244 T16/T17",2400,120,163,08/07 → 04/16
2.4 D,D 5244 T14,2400,129,175,04/09 → 12/10
2.4 D4,D 5244 T12,2400,133,181,11/13 → 04/16
2.4 D5,D 5244 T4,2400,136,185,08/07 → 03/09
2.4 D5,D 5244 T10,2400,151,205,04/09 → 12/11
2.4 D5,D 5244 T11/T15,2400,158,215,06/11 → 12/15
2.4 D5,D 5244 T20,2400,162,220,03/15 → 04/16
2.4 D5,D 5244 T15,2400,169,230,03/15 → 04/16
2.5 T5,B 5254 T12,2497,187,254,08/15 → 12/16
2.5 T6,B 5254 T14,2497,183,249,03/15 → 12/16
3.0 T6,B 6304 T2,2953,210,285,09/08 → 04/10
3.0 T6,B 6304 T4,2953,224,304,05/10 → 04/15
3.0 T6,,2953,242,329,11/13 → 12/16
3.2,B6324S,3192,175,238,08/07 → 12/08
