Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 B5 Mild Hybrid,"B 420 T2, T10",1969,184,250,01/20 →
2.0 B5 Mild-Hybrid,,1969,173,235,04/19 →
2.0 B6 Mild-Hybrid,B 420 T,1969,220,299,03/20 →
2.0 D4,"D 4204 T6, T14",1969,140,190,01/15 → 12/18
2.0 D5,D 4204 T11,1969,165,224,01/15 → 12/16
2.0 D5,D 4204 T23,1969,173,235,05/16 → 12/19
2.0 D5 Polestar,D 4204 T23,1969,177,240,10/18 →
2.0 T5,B 4204 T23,1969,187,254,01/15 → 12/18
2.0 T5,B 4204 T20,1969,183,249,01/15 →
2.0 T5 Polestar,B 4204 T26,1969,186,253,07/19 →
2.0 T6,"B 4204 T27, T28, T29",1969,236,321,01/15 → 12/18
2.0 T6,B 4204 T29,1969,228,310,10/17 →
2.0 T8,B 4204 T34,1969,233,317,01/19 →
2.0 T8 Hybrid,B1APHEV (B4204 T35),1969,236,321,03/16 → 12/18
2.0 T8 Plug-in Hybrid,B4204 T56,1969,335,455,05/22 →
2.0 T8 Polestar Hybrid,B4204 T35,1969,246,334,06/15 →
2.0 T8 Twin Engine,B 4207 T34,1969,287,390,06/19 →
