Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.4 D4/D5,"D 5244 T, D 5244 T5",2401,120,163,09/02 → 12/14
2.4 D5,D 5244 T4,2401,136,185,08/05 → 12/10
2.4 D5,D 5244 T18,2400,147,200,01/11 → 12/14
2.4 D5,D 5244 T18,2400,155,211,11/13 → 09/14
2.5 T,B 5254 T2,2521,154,210,09/02 → 10/06
2.5 T,B 5254 T9,2497,154,209,10/12 → 12/14
3.0 T6,B 6294 T,2922,200,272,09/02 → 12/06
3.2,B 6324 S,3192,175,238,08/06 → 12/10
3.2,B 6324 S5,3192,179,243,09/11 → 09/14
3.2 AWD,,,179,243,04/10 → 09/14
4.4 V8,B 8444 S,4414,232,315,01/05 → 12/10
