Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 TSI (358),CZDA,1395,110,150,05/15 → 12/16
1.4 TSI (358),"CKMA, CTHD",1390,118,160,11/11 → 12/16
1.8 TSI (358),CDAA,1781,118,160,02/12 → 12/16
2.0 TDI (358),CUWA,1968,135,184,05/15 → 12/16
2.0 TDI (358),CFFA,1968,100,136,11/11 → 12/16
2.0 TDI (358),CFFB,1968,103,140,02/12 → 12/16
2.0 TDI (358),"CFGB, CLLA",1968,125,170,02/12 → 12/16
2.0 TDI (358),CFGC,1968,130,177,12/12 → 12/16
2.0 TDI (358),CUVC,1968,110,150,05/15 → 12/16
2.0 TSI (358),CCZB,1984,155,211,02/12 → 12/16
3.6 FSI (358),BWS,3597,220,300,02/12 → 12/16
