Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 TSI (2C),CBZA,1198,63,86,09/10 → 06/15
1.2 TSI (2C),CBZB,1198,77,105,09/10 → 06/15
"1.4 (2KA, 2KB, 2KH, 2KJ)",BCA,1390,55,75,02/04 → 12/10
"1.4 16V (2KA, 2KB, 2KH, 2KJ)",BUD,1390,59,80,06/06 → 12/10
"1.6 (2KA, 2KB, 2KH, 2KJ)","BGU, BSE, BSF",1598,75,102,02/04 → 12/10
1.6 (2C),"BSF, CHGA (Bifuel/LPG)",1598,75,102,10/10 → 06/15
1.6 TDI (2C),CAYD,1598,75,102,09/10 → 06/15
1.6 TDI (2C),CAYE,1598,55,75,09/10 → 06/15
"1.9 TDI (2KA, 2KB, 2KH, 2KJ)",BSU,1896,55,75,09/05 → 12/10
"1.9 TDI (2KA, 2KB, 2KH, 2KJ)","BJB, BLS",1896,77,105,02/04 → 12/10
"2.0 EcoFuel (2KA, 2KB, 2KH, 2KJ, 2C)",BSX,1984,80,109,04/06 → 06/15
"2.0 SDI (2KA, 2KB, 2KH, 2KJ)","BDJ, BST",1968,51,70,02/04 → 12/10
2.0 TDI (2C),CFHE,1968,62,85,09/10 → 06/15
2.0 TDI (2C),CFHC,1968,103,140,09/10 → 06/15
2.0 TDI (2C),CFJA,1968,125,170,05/12 → 06/15
"2.0 TDI (2KA, 2KB, 2KH, 2KJ)",BMM,1968,103,140,09/07 → 12/10
2.0 TDI (2C),"CFHF, CLCA",1968,81,110,09/10 → 06/15
