Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 TSI,DKRD,999,62,84,11/18 →
1.0 TSI,CHZG,999,75,102,11/15 →
1.2 TSI,CYVC,1197,62,84,06/15 →
1.4 TGI CNG,CPWA,1395,81,110,06/15 →
1.4 TSI,CZCB,1395,92,125,06/15 →
1.4 TSI,DJKD,1395,96,131,07/18 →
1.6 SRE,CWVA,1598,81,110,11/15 →
1.6 TDI,CAYE,1598,55,75,06/15 → 11/17
1.6 TDI,CAYD,1598,75,102,06/15 →
2.0 TDI,"CUUC, CUUF, CYVC, DFSC, DFSF",1968,55,75,06/15 →
2.0 TDI,"CUUD, DFSD",1968,75,102,06/15 →
2.0 TDI,"CUUE, DFSE",1968,90,122,06/15 →
2.0 TDI,"CUUB, DFSB",1968,110,150,06/15 →
2.0 TDI,CFHC (Euro 5),1968,103,140,06/15 →
2.0 TDI,"CFHF (Euro 5), CLCA,",1968,81,110,06/15 → 09/20
ABT e-Caddy,BOSCH SMG-180.1.3,,83,113,04/20 →
