Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.4 TSI (1F7, 1F8)",CAVD,1390,118,160,05/08 → 08/15
"1.4 TSI (1F7, 1F8)",CAXA,1390,90,122,10/07 → 08/15
1.6 FSI (1F7),BLF,1598,85,115,06/06 → 08/08
2.0 FSI (1F7),"BVY, BVZ",1984,110,150,05/06 → 07/08
2.0 TDI (1F8),CFFA,1968,100,136,11/10 → 08/15
"2.0 TDI (1F7, 1F8)","BMM, CBAB, CFFB",1968,103,140,06/06 → 11/10
"2.0 TFSI (1F7, 1F8)",CCZB,1984,155,210,11/09 → 08/15
"2.0 TFSI (1F7, 1F8)","BPY,BWA,CAWB,CBFA,CCTA,CCZA",1984,147,200,05/06 → 08/15
3.2 V6 (1F7),"BUB, CBRA",3189,184,250,06/06 → 06/09
3.6 FSI V6 (1F7),CDVA,3597,191,260,05/09 → 12/10
