Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.1 (17),HC,1093,44,60,01/81 → 07/83
1.1 (17),FA / GG,1093,37,50,04/74 → 07/83
1.1 (17),FJ,1093,38,52,01/81 → 07/83
1.3 (17),"GF, GS",1272,44,60,08/79 → 07/83
1.5 (17),FH,1471,51,70,04/74 → 12/75
1.5 (17),JB,1457,51,70,08/77 → 07/83
1.5 D (17),CK,1471,37,50,08/76 → 07/80
1.6 (17),"FP, FT",1581,55,75,08/75 → 07/77
1.6 D (17),JK,1588,40,54,08/80 → 07/83
1.6 GTI (17),EG,1588,81,110,08/76 → 07/82
1.6 TD (17),CY,1588,51,70,03/82 → 07/83
1.8 GTI (17),DX,1760,82,112,08/82 → 12/83
