Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.0 (19E, 1G1)",GN,1043,33,45,11/83 → 08/85
"1.0 (19E, 1G1)",HZ,1043,37,50,08/85 → 10/91
"1.3 (19E, 1G1)","HW, NU, 2C",1272,37,50,08/83 → 12/92
"1.3 (19E, 1G1)",GT,1272,44,60,08/83 → 10/86
"1.3 (19E, 1G1)","HK, MH, NZ, 2G",1272,40,55,08/83 → 12/92
"1.6 (19E, 1G1)",EZ,1595,55,75,08/83 → 10/91
"1.6 (19E, 1G1)",RF (KAT),1595,53,72,02/86 → 10/91
"1.6 (19E, 1G1)",PN,1595,51,70,10/86 → 12/92
"1.6 D (19E, 1G1)",JP,1588,40,54,08/83 → 07/91
"1.6 TD (19E, 1G1)",JR,1588,51,70,08/83 → 10/91
"1.6 TD (19E, 1G1)",1V,1589,44,60,08/89 → 10/91
"1.6 TD (19E, 1G1)",SB,1570,59,80,04/89 → 10/91
"1.8 (19E, 1G1)",GU,1781,66,90,08/83 → 10/91
"1.8 (19E, 1G1)",RH,1781,62,84,08/86 → 01/90
"1.8 (19E, 1G1)",RP,1781,66,90,01/84 → 10/91
"1.8 GTI (19E, 1G1)",PF,1781,79,107,08/85 → 10/91
"1.8 GTI (19E, 1G1)",PB,1781,82,112,08/83 → 10/91
"1.8 GTI 16V (19E, 1G1)",PL,1781,95,129,02/86 → 10/91
"1.8 GTI 16V (19E, 1G1)",KR,1781,102,140,02/86 → 10/91
"1.8 GTI G60 (19E, 1G1)",PG,1781,118,160,04/90 → 07/91
"1.8 Syncro (19E, 1G1)",1P,1781,72,98,08/88 → 07/91
"1.8 Syncro G60 (19E, 1G1)",PG,1781,118,160,08/90 → 07/91
"1.8i Syncro (19E, 1G1)",RP,1781,66,90,08/87 → 07/91
2.0,,1968,57,77,08/85 → 07/92
