Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.4 (1H1, 1H5)","ABD, AEX",1391,44,60,11/91 → 04/99
"1.4 (1H1, 1H5)",ABD,1391,40,55,11/91 → 07/95
"1.6 (1H1, 1H5)",AFT,1595,74,101,07/94 → 04/99
"1.6 (1H1, 1H5)",ABU/AEA/AEE,1598,55,75,09/92 → 04/99
"1.8 (1H1, 1H5)","AAM, ANN",1781,55,75,11/91 → 04/99
"1.8 (1H1, 1H5)",ABS/ADZ,1781,66,90,11/91 → 04/99
"1.9 D (1H1, 1H5)",1Y,1896,48,65,11/91 → 04/99
"1.9 SDI (1H1, 1H5)",AEY,1896,47,64,04/97 → 04/99
"1.9 TD/GTD (1H1, 1H5)",AAZ,1896,55,75,11/91 → 04/99
"1.9 TDI (1H1, 1H5)",AFN,1896,81,110,02/96 → 04/99
"1.9 TDI (1H1, 1H5)",AHU/ALE/1Z,1896,66,90,09/93 → 04/99
"2.0 (1H1, 1H5)",,1984,79,107,11/91 → 07/97
"2.0 GTI 16V (1H1, 1H5)",ABF,1984,110,150,08/92 → 07/97
"2.0 Syncro (1H1, 1H5)",AGG,1984,85,115,08/95 → 04/99
"2.0 i, GTI (1H1, 1H5)","2E,ADY,AGG,ABA/F,AKR",1984,85,115,11/91 → 07/97
"2.8i VR6 (1H1, 1H5)",AAA,2792,128,174,01/92 → 07/97
"2.9i VR6 (1H1, 1H5)",ABV,2861,140,190,10/94 → 04/99
Citystromer (1H1),,,20,27,11/94 → 08/97
