Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 TSI (5G1/BA5),CHZK,999,63,86,01/17 →
1.0 TSI (5G1/BA5),"CHZD, DKRF",999,85,116,05/15 →
1.2 TSI (5G1/BA5),CJZA,1198,77,105,11/12 → 03/17
1.2 TSI (5G1/BA5),"CJZB, CYVA",1198,63,86,11/12 → 03/17
1.2 TSI (5G1/BA5),CYVB,1198,81,110,10/13 →
1.4 GTE (Hybrid) (5G1),"CUKB, DGEA",1395,110,150,05/14 →
1.4 TSI (5G1/BA5),"CMBA, CPVA, CXSA",1395,90,122,11/12 → 03/17
1.4 TSI (5G1/BA5),"CHPA, CPTA",1395,103,140,11/12 → 03/17
1.4 TSI (5G1/BA5),"CZCA, CPVB",1395,92,125,05/14 →
1.4 TSI (5G1/BA5),"CZEA, CZDA, CHPB, CUKB",1395,110,150,05/14 →
1.4 TSI CNG Eco (5G1/BA5),CPWA,1395,81,110,07/13 →
1.5 TGI (5G1/BA5),DHFA,1498,96,131,11/18 →
1.5 TSI (5G1/BA5),DACA,1498,96,131,07/17 →
1.5 TSI (5G1/BA5),"DADA, DPCA",1498,110,150,04/17 →
1.6 (5G1),CWVA,1598,81,110,05/14 →
1.6 TDI (5G1/BA5),"CLHB, CRKA, CXXA",1598,66,90,11/12 → 03/17
1.6 TDI (5G1/BA5),CLHA,1598,77,105,11/12 → 03/17
1.6 TDI (5G1/BA5),"CRKB, CXXB",1598,81,110,11/12 → 03/17
1.6 TDI (5G1/BA5),"DDYA, DGTE",1598,85,116,11/16 →
1.8 TSI (5G1/BA5),CJSB,1798,132,179,12/14 →
2.0 GTD (5G1),CUNA,1968,135,184,04/13 →
2.0 GTI (5G1),"CHHB, CNTC",1984,162,220,04/13 → 05/16
2.0 GTI (5G1),CHHA,1984,169,230,04/13 →
2.0 GTI (5G1),DLBA,1984,180,245,03/17 →
2.0 GTI (5G1),CJXE,1984,195,265,02/16 →
"2.0 GTI Clubsport S, 2.0 R (5G1)",CJYG,1984,228,310,09/16 →
2.0 GTI TCR,DNU,1984,213,290,01/19 →
2.0 R (5G1),"CJXB, CJXD",1984,206,280,11/13 →
2.0 R (5G1),CJXC,1984,221,300,11/13 →
2.0 R (5G1),"CYFB, DJJA",1984,215,292,11/14 →
2.0 R 360 (5G1),CJXC,1984,265,360,09/16 →
2.0 TDI (5G1/BA5),"CRVA, CYKB, DEJB",1968,81,110,11/12 →
2.0 TDI (5G1/BA5),CRBB,1968,105,143,11/12 →
2.0 TDI (5G1/BA5),"CKFC, CRBC/LB/MB, DFEA, DEJA",1968,110,150,11/12 → 05/18
2.0 TSI (5G1/BA5),CNTA,1984,155,211,11/13 →
e-Golf (5G1/BA5),EAZA,,100,136,12/16 →
e-Golf (5G1/BA5),EAGA,,85,116,03/14 → 02/17
