Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3,MH,1272,40,55,01/84 → 10/91
1.3,GT,1272,44,60,08/83 → 10/86
1.6,EZ,1595,55,75,01/84 → 10/91
1.6,RF (KAT),1595,53,72,03/86 → 10/91
1.6,PN,1595,51,70,10/86 → 10/91
1.6 D,JP,1588,40,54,01/84 → 10/91
1.6 TD,JR,1570,51,70,01/84 → 10/91
1.6 TD,SB,1588,59,80,04/89 → 10/91
1.6 TD,1V,1589,44,60,01/90 → 10/91
1.8,PB,1781,82,112,08/87 → 10/91
1.8,"GU, GX, HV, RP",1781,66,90,08/83 → 10/91
1.8,PF,1781,79,107,08/85 → 10/91
1.8,RH,1781,62,84,08/86 → 01/90
1.8 16V,KR,1781,102,140,06/87 → 10/91
1.8 16V,PL,1781,95,129,08/86 → 10/91
1.8 Syncro,1P,1781,72,98,08/88 → 07/91
1.8 Syncro,RP,1781,66,90,08/87 → 12/88
