Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 TSI (1K2),BMY,1390,103,140,07/06 → 10/10
1.4 TSI (1K2),BLG,1390,125,170,07/06 → 10/10
1.4 TSI (1K2),CAXA,1390,90,122,09/07 → 10/10
1.4 TSI (1K2),CAVD,1390,118,160,07/08 → 10/10
1.6 16V (1K2),"BSE, BSF, CCSA, CMXA",1595,75,102,07/05 → 10/10
1.6 FSI (1K2),BLF,1598,85,115,07/05 → 10/10
1.6 TDI (1K2),CAYB,1598,66,90,12/09 → 10/10
1.6 TDI (1K2),CAYC,1598,77,105,06/09 → 10/10
1.9 TDI (1K2),"BKC, BLS, BXE",1896,77,105,07/05 → 10/10
2.0 FSI (1K2),"BLR, BLY, BVY, BVZ",1980,110,150,07/05 → 10/10
2.0 TDI (1K2),"BKD, BMM, CBDB",1968,103,140,07/05 → 10/10
2.0 TDI (1K2),CLCA,1968,81,110,02/10 → 10/10
2.0 TDI (1K2),"BMN, CEGA",1968,125,170,07/06 → 10/10
2.0 TDI (1K2),"AZV, CBDA",1968,100,136,09/05 → 10/10
2.0 Turbo FSI (1K2),"BWA, BPY, CAWB, CCTA",1984,147,200,09/05 → 10/10
2.0 Turbo FSI (1K2),CAWA,1984,125,170,07/08 → 10/10
2.5 V5 (1K2),"CCCA, CBTA",2480,125,170,07/07 → 10/10
2.5 V5 (1K2),"BGP, BPR, BPS, BTK",2480,110,150,10/05 → 10/10
